feature,delta_metric_mean,delta_metric_std,block,impurity,impurity_pct
log_dollar_vol,0.021892474430142972,0.02306211308049534,Tech,0.22569052935360215,22.569052935360215
evasion,0.009452205209540675,0.00871731233962784,LLM,0.05948708894325025,5.948708894325025
sec_CommServices,0.0030419487992842664,0.002009507175331596,Sector,0.007157122189585846,0.7157122189585846
sec_Financials,0.0026291709876166912,0.0007423844472622821,Sector,0.00435791660580244,0.43579166058024404
vol_10d,0.001118363529148647,0.009077721256831804,Tech,0.15134564795034258,15.134564795034258
sec_Energy,0.00029585798816568937,0.00015987979694664616,Sector,0.000395915706148841,0.0395915706148841
sec_Utilities,5.99849529270872e-05,2.2937664801382517e-05,Sector,0.00017805924376965816,0.017805924376965817
sec_ConsStaples,3.0500823522294775e-06,0.0003943423466623557,Sector,0.0014243779027177405,0.14243779027177406
sec_Materials,0.0,0.0,Sector,0.0,0.0
certainty,-3.050082352222076e-05,0.0013315743422404513,LLM,0.016692491165211633,1.6692491165211634
sec_RealEstate,-3.1517517639623185e-05,8.01126579153459e-05,Sector,0.00014862332489635032,0.014862332489635031
sec_HealthCare,-0.00011386974114966734,0.00023281185334105624,Sector,0.001193360410733597,0.1193360410733597
sec_ConsDisc,-0.0002917912116960427,0.003431423378345701,Sector,0.011655795141911946,1.1655795141911947
guidance_num,-0.0004686959881249971,0.00026006113407511344,LLM,0.0021918256156938077,0.21918256156938076
sec_Industrials,-0.0006537343174932412,0.0007834490766693476,Sector,0.002743410445081755,0.2743410445081755
confidence,-0.0010705789056304111,0.003375035684396994,LLM,0.02626754082107638,2.626754082107638
sentiment_num,-0.0010919294820959954,0.0006914745903179152,LLM,0.005779765936589883,0.5779765936589883
tone_num,-0.0011468309644360112,0.0007863299234708372,LLM,0.006618636422796248,0.6618636422796248
sec_InfoTech,-0.002407531670021749,0.001419101051793623,Sector,0.005790420697966572,0.5790420697966572
rsi_7,-0.004720510787124543,0.022386040146891596,Tech,0.18147451777883067,18.147451777883067
mom_5d,-0.004875048292970559,0.007890487326606768,Tech,0.1573096581223316,15.73096581223316
macd_hist,-0.0061520161044348095,0.007843299865365158,Tech,0.13209729622166005,13.209729622166005
